Time,Flow
12.05,12.97969
12.06,11.74375
12.07,12.95781
12.08,12.1375
12.09,11.41875
12.1,11.79219
12.11,10.1375
12.12,10.57188
12.13,11.65625
12.14,11.85781
12.15,11.12188
12.16,11.94063
12.17,11.76719
12.18,10.23906
12.19,10.375
12.2,10.7875
12.21,9.185937
12.22,8.882813
12.23,10.12656
12.24,9.740625
12.25,9.696875
12.26,10.90469
12.27,8.80625
12.28,9.251563
12.29,8.125
12.3,9.023438
12.31,7.760938
12.32,8.396875
12.33,8.06875
12.34,7.85
12.35,8.025
12.36,7.346875
12.37,9.723438
12.38,8.6375
12.39,7.603125
12.4,7.176563
12.41,7.33125
12.42,6.482813
12.43,7.042188
12.44,7.648438
12.45,8.192188
12.46,7.989063
12.47,7.053125
12.48,7.179688
12.49,7.146875
12.5,6.723438
12.51,5.892188
12.52,5.584375
12.53,6.604688
12.54,5.451563
12.55,6.63125
12.56,7.015625
12.57,6.7625
12.58,6.4
12.59,6.207813
12.6,5.601563
12.61,5.509375
12.62,4.253125
12.63,3.825
12.64,3.173438
12.65,1.923438
12.66,1.15625
12.67,0.296875
12.68,0.034375
12.69,-1.026563
12.7,-1.978125
12.71,-3.2875
12.72,-4.0875
12.73,-4.459375
12.74,-5.201563
12.75,-4.739063
12.76,-0.6859375
12.77,1.214063
12.78,1.234375
12.79,1.870313
12.8,1.2
12.81,-0.1765625
12.82,-0.8203125
12.83,-1.434375
12.84,-0.1984375
12.85,0.25
12.86,-0.3859375
12.87,0.5703125
12.88,1.951563
12.89,2.682813
12.9,3.245313
12.91,4.889063
12.92,5.339063
12.93,5.7
12.94,7.4
12.95,7.071875
12.96,7.957813
12.97,9.564063
12.98,10.0625
12.99,10.48125
13.0,10.96094
13.01,10.8
13.02,10.87813
13.03,10.77969
13.04,12.725
13.05,13.575
13.06,15.84531
13.07,15.66094
13.08,14.9875
13.09,16.96562
13.1,15.30938
13.11,16.67813
13.12,16.48438
13.13,15.95156
13.14,17.25313
13.15,15.38438
13.16,16.55625
13.17,15.02656
13.18,15.79375
13.19,15.67188
13.2,12.67188
13.21,14.05
13.22,13.35625
13.23,12.925
13.24,12.42813
13.25,12.41719
13.26,12.42344
13.27,13.51406
13.28,12.81094
13.29,12.62656
13.3,11.15781
13.31,11.25625
13.32,11.54219
13.33,9.840625
13.34,11.17813
13.35,10.41719
13.36,11.71875
13.37,11.90938
13.38,11.47813
13.39,10.63906
13.4,9.923438
13.41,8.948438
13.42,10.40781
13.43,10.30469
13.44,9.521875
13.45,9.534375
13.46,9.295312
13.47,10.46406
13.48,10.11094
13.49,9.459375
13.5,10.25156
13.51,8.290625
13.52,7.445313
13.53,8.401563
13.54,8.404687
13.55,8.525
13.56,8.104688
13.57,9.907813
13.58,8.421875
13.59,7.767188
13.6,7.235938
13.61,7.5875
13.62,7.146875
13.63,6.989063
13.64,6.9375
13.65,7.998438
13.66,7.5625
13.67,7.264063
13.68,7.279688
13.69,7.303125
13.7,6.6875
13.71,6.7625
13.72,5.84375
13.73,5.920313
13.74,6.5
13.75,6.28125
13.76,6.3125
13.77,6.282813
13.78,7.24375
13.79,6.871875
13.8,6.689063
13.81,6.367188
13.82,5.3
13.83,4.975
13.84,3.251563
13.85,2.75625
13.86,0.996875
13.87,0.140625
13.88,-0.0671875
13.89,0.3625
13.9,0.096875
13.91,-2.475
13.92,-3.595313
13.93,-5.159375
13.94,-5.40625
13.95,-6.0625
13.96,-4.748438
13.97,-0.8484375
13.98,0.7578125
13.99,0.803125
14.0,1.884375
14.01,1.1375
14.02,-0.8546875
14.03,-0.184375
14.04,-0.621875
14.05,-0.275
14.06,-1.0875
14.07,-0.5953125
14.08,0.775
14.09,1.014063
14.1,2.65
14.11,3.428125
14.12,4.760937
14.13,6.059375
14.14,5.55
14.15,5.798438
14.16,6.385938
14.17,8.323438
14.18,9.982813
14.19,10.30938
14.2,10.88125
14.21,11.28281
14.22,12.7
14.23,12.14688
14.24,11.14219
14.25,12.00313
14.26,13.11094
14.27,14.33438
14.28,16.07656
14.29,15.74844
14.3,15.67031
14.31,15.20313
14.32,15.63281
14.33,17.22031
14.34,15.57344
14.35,18.20781
14.36,12.40938
14.37,15.47813
14.38,14.52969
14.39,15.22031
14.4,16.1
14.41,15.85313
14.42,14.6375
14.43,13.23438
14.44,11.3125
14.45,13.15156
14.46,12.83438
14.47,9.3
14.48,16.18437
14.49,13.38281
14.5,13.35469
14.51,10.93281
14.52,11.38281
14.53,10.64688
14.54,9.821875
14.55,10.60938
14.56,10.51719
14.57,11.69063
14.58,10.8625
14.59,10.80156
14.6,9.648438
14.61,11.09219
14.62,8.959375
14.63,9.309375
14.64,8.526563
14.65,7.840625
14.66,8.8
14.67,9.596875
14.68,9.679688
14.69,10.4125
14.7,10.50938
14.71,8.564063
14.72,9.120313
14.73,7.845313
14.74,6.975
14.75,6.704688
14.76,8.148438
14.77,8.553125
14.78,8.421875
14.79,7.917188
14.8,7.128125
14.81,7.66875
14.82,6.976563
14.83,6.934375
14.84,6.478125
14.85,6.4625
14.86,7.057813
14.87,6.523438
14.88,7.382813
14.89,6.626563
14.9,8.1
14.91,7.85625
14.92,7.126563
14.93,6.8
14.94,6.765625
14.95,4.7625
14.96,5.826563
14.97,6.39375
